FlowID,FlowDuration,TotalPackets,TotalBytes,AvgPacketSize,BytesPerPacket,PacketRate,ByteRate,FlowVolume,Port,Protocol,FIN_Flag_Count,SYN_Flag_Count,RST_Flag_Count,PSH_Flag_Count,ACK_Flag_Count,InterArrivalTime,Cluster
1754,13.63038304,45.0,9115.0,172.1586545,202.5555556,1.636551539,812.9804829,11081.23539,443,udp,1,0,0,2,17,5.371397408,1
1497,1.363090748,2.0,897.0,178.8837912,2242.5,5.657161161,872.9822774,1189.954065,53,udp,0,0,0,0,0,1.08391801,1
47,1.757574019,106.0,40022.0,460.7948041,377.5660377,48.54232023,4793.957007,8425.734285,443,tcp,2,3,0,41,67,0.397585955,1
875,2719.887078,8067.0,56485098.0,1459.106676,7001.995537,396.033906,5995752.44,16307769581.0,1935,tcp,1,2,0,975,941,0.002829849,0
1662,2446.741965,100923.875,25419456.0,166.3637757,199.6438692,91.55066354,279756.3484,684491597.6,38192,udp,1,1,0,5691,6344,0.00954451,2
433,12.73956297,196.0,175496.0,470.657025,895.3877551,5.231759089,12139.03843,154646.0445,443,tcp,4,2,0,16,88,0.11543363,1
454,23.33224244,25.0,259034.0,782.302295,10361.36,34.06471358,23425.13717,546560.9797,443,tcp,2,4,0,28,81,0.427331982,1
71,18.59108642,42.0,492461.0,675.3101137,11725.2619,42.91911653,10272.00673,190967.7647,443,tcp,4,4,1,31,33,0.232198317,1
742,507.2146906,24110.0,236546114.0,1343.440419,9811.120448,112.3974507,2360167.508,1197111632.0,8080,tcp,2,1,0,122,3641,0.033019762,0
165,11.27071867,167.0,486520.0,616.4013345,2913.293413,46.70081533,44642.88082,503157.3503,80,tcp,2,3,0,48,73,0.032655159,1
1502,3485.16548655625,57319.0,25016073.0,273.8569109,436.4359636,112.3872562,259739.7727,1788577948.0,18406,udp,1,1,0,7019,1215,0.006614357,2
718,1159.765763,28268.0,91073767.0,1345.561565,3221.797333,280.2604394,4611761.529,5348563129.0,443,tcp,2,2,0,659,9888,0.034081563,0
184,15.74599008,165.0,246393.0,792.8330781,1493.290909,28.76522807,29630.00129,466553.7065,80,tcp,3,3,1,28,61,0.499583309,1
656,3275.004584,3372.0,482377752.0,1228.349458,143053.9004,376.3950466,2888281.87,9459136365.0,443,tcp,2,1,0,733,3316,0.019762857,0
20,20.57978742,11.0,93883.0,311.7870285,8534.818182,38.81332257,43807.47198,901548.4607,443,tcp,2,1,0,48,56,0.471548995,1
1415,0.64662383,6.0,3952.0,185.1743465,658.6666667,2.63178925,3993.661255,2582.396536,53,udp,0,0,0,0,0,0.876512456,1
957,234.0258565,79931.0,426235236.0,1429.744384,5332.539766,245.7948297,14374294.44784,3622225792.0,21,tcp,1,1,0,184,36177,0.003418535,0
662,735.8293908,46462.0,401257251.0,1433.072232,8636.245771,94.90463621,4672569.546,3438214003.0,443,tcp,1,2,0,159,8504,0.035230746,0
759,2460.604226,20477.0,336639934.0,1388.39199,16439.90497,400.4642701,14374294.44784,6105312754.0,443,tcp,0,2,0,632,2936,0.047197753,0
594,1032.238635,26538.0,396347912.0,1456.805008,14935.1086,470.5442509,5105463.636,5270056816.0,443,tcp,2,2,0,941,7212,0.048144206,0
276,1.768960112,163.0,41391.0,708.6313593,253.9325153,15.99359101,46690.926,82594.38568,443,tcp,3,4,0,37,72,0.241400658,1
1178,561.1295874,46121.0,202620449.0,1406.617768,4393.236248,359.4451681,14374294.44784,23470370128.0,22,tcp,1,2,0,114,41239,0.006534762,0
143,8.920834789,28.0,69526.0,524.3616686,12415.35714,13.46862155,18178.15804,162164.3446,443,tcp,2,4,1,38,49,0.416744365,1
327,27.40599495,17.0,229581.0,391.0505375,13504.76471,1.417978708,7743.820849,212227.1151,443,tcp,1,2,1,38,46,0.094726214,1
1202,544.1945059,64666.0,59667603.0,1418.133877,922.7044042,125.620776,14374294.44784,21356347861.0,22,tcp,1,1,0,357,23504,0.008035295,0
669,1038.266959,43408.0,471992674.0,1356.042282,10873.40292,155.6033437,14374294.44784,9619891727.0,443,tcp,0,1,0,357,5486,0.035461773,0
1017,244.7686671,67774.0,260002758.0,1424.591266,3836.320093,260.878178,14374294.44784,4701886879.0,443,tcp,2,1,0,425,29811,0.001152815,0
1471,1.102902735,7.0,868.0,171.9344252,124.0,6.194602902,2481.221324,2736.545784,53,udp,0,0,0,0,0,0.788292587,1
1257,0.544142791,8.0,3522.0,127.5930704,440.25,5.757392169,4153.386969,2260.035576,53,udp,0,0,0,0,0,1.842124466,1
168,19.9975221,110.0,483292.0,355.3002351,4393.563636,6.461844361,35553.48915,710981.685,8080,tcp,1,2,1,11,20,0.202828366,1
51,0.821757878,168.0,280380.0,470.7774658,1668.928571,46.02445103,35799.26035,29418.32423,443,tcp,3,1,1,22,79,0.060071302,1
934,2970.905829,35565.0,351591026.0,1344.941996,9885.871672,190.8546948,9757523.711,28988684064.0,443,tcp,0,1,0,511,8671,0.006480424,0
313,10.71366467,178.0,457723.0,774.2829777,2571.477528,25.35296413,47304.9708,506809.5944,-1,tcp,4,3,1,9,51,0.428679593,1
1593,1706.527967,100923.875,36809045.0,173.1651201,138.4605503,73.61568614,204706.2182,349336886.4,46936,udp,0,1,0,7795,2624,0.015578788,2
331,23.92953488,103.0,268422.0,756.3046635,2606.038835,41.55129633,38528.1875,921961.6066,443,tcp,3,3,1,5,36,0.174943008,1
1295,0.625449735,5.0,3623.0,100.396316,724.6,8.848816341,1320.447408,825.8734809,53,udp,0,0,0,0,0,0.49720902,1
1326,1.037754896,3.0,3947.0,172.899285,1315.666667,3.751134054,4731.606153,4910.24745,53,udp,0,0,0,0,0,0.243845855,1
1480,0.870302588,2.0,213.0,178.060906,106.5,8.642839852,205.2663259,178.6438147,53,udp,0,0,0,0,0,0.272564145,1
1315,0.766843549,4.0,2697.0,151.0895072,674.25,5.763189514,4375.543812,3355.357547,53,udp,0,0,0,0,0,1.83071335,1
1590,3485.16548655625,100923.875,2698727.0,445.4027909,7.266362412,142.9678865,455306.4703,1831802861.0,31219,udp,0,1,0,969,6791,0.013457177,2
1324,1.842527804,4.0,919.0,149.9978271,229.75,8.98304963,6202.269812,1142.785458,53,udp,0,0,0,0,0,1.225996481,1
843,2874.79769,19152.0,97404275.0,1304.439006,5085.853958,315.1158575,9257168.031,26612485268.0,443,tcp,2,1,0,838,8082,0.022520663,0
660,3428.429113,30378.0,251493653.0,1276.804651,8278.808776,277.0896197,8175362.979,28028652450.0,1935,tcp,2,2,0,129,8658,0.013716995,0
170,14.09479703,78.0,42157.0,524.7181242,540.474359,42.93684896,32376.99722,456347.2041,80,tcp,3,2,1,15,27,0.473149203,1
1145,467.0812909,22958.0,575903986.0,1466.010054,25085.11133,680.73359807,4725525.343,2207204477.0,22,tcp,1,1,0,330,35751,0.005123174,0
1744,47.42919382,28.0,4111.0,127.9492568,146.8214286,2.892759473,906.473302,42993.29793,5683,tcp,1,0,0,9,35,1.957912587,1
358,26.65850209,173.0,27615.0,714.9001746,159.6242775,48.89056483,28633.94613,763338.113,443,tcp,3,1,1,39,39,0.327032202,1
1763,43.195105,41.0,7399.0,106.0678361,180.4634146,4.247129034,117.6462694,5081.74296,8883,udp,1,1,0,1,15,3.221604065,1
910,3485.16548655625,34074.0,144891072.0,1442.651572,4252.247227,445.6303166,14374294.44784,6669171565.0,443,tcp,2,1,0,671,4617,0.010848488,0
560,1300.013457,41971.0,239670840.0,1446.452591,5710.391461,267.3332939,7334782.221,9535315591.0,443,tcp,0,2,0,877,9058,0.049926366,0
388,17.16838189,109.0,189574.0,504.6604639,1739.211009,7.864737153,10993.63458,188742.9167,8080,tcp,2,1,0,37,31,0.190477165,1
564,3145.569113,7725.0,39958935.0,1264.909171,5172.67767,257.0138497,3505189.114,11025814613.0,80,tcp,2,2,0,283,3310,0.013546029,0
513,1853.185251,18676.0,331871606.0,1285.653416,17769.95106,484.6652764,1172211.883,2172325773.0,443,tcp,0,1,0,887,9528,0.033263487,0
678,3009.037962,19882.0,145166822.0,1455.973851,7301.419475,306.8308733,5653587.439,17011859227.0,80,tcp,1,1,0,356,4385,0.030714329,0
