FlowID,FlowDuration,TotalPackets,TotalBytes,AvgPacketSize,BytesPerPacket,PacketRate,ByteRate,FlowVolume,Port,Protocol,FIN_Flag_Count,SYN_Flag_Count,RST_Flag_Count,PSH_Flag_Count,ACK_Flag_Count,InterArrivalTime
1754,13.63038304,45,9115,172.1586545,202.5555556,1.636551539,812.9804829,11081.23539,443,udp,1,0,0,2,17,5.371397408
1497,1.363090748,2,897,178.8837912,2242.5,5.657161161,872.9822774,1189.954065,53, UDP,0,0,0,0,0,1.08391801
47,1.757574019,106,40022,460.7948041,377.5660377,48.54232023,4793.957007,8425.734285,443,TCP,2,3,0,41,67,0.397585955
875,2719.887078,8067,56485098,1459.106676,7001.995537,396.033906,5995752.44,16307769581,1935,TCP,1,2,0,975,941,0.002829849
1662,2446.741965,127324,25419456,166.3637757,199.6438692,91.55066354,279756.3484,684491597.6,38192,UDP,1,1,0,5691,6344,0.00954451
433,12.73956297,196,175496,470.657025,895.3877551,5.231759089,12139.03843,154646.0445,443,TCP,4,2,0,16,88,0.11543363
454,23.33224244,25,259034,782.302295,10361.36,34.06471358,23425.13717,546560.9797,443,TCP,2,4,0,28,81,0.427331982
71,18.59108642,42,492461,675.3101137,11725.2619,42.91911653,10272.00673,190967.7647,443,TCP,4,4,1,31,33,0.232198317
742,507.2146906,24110,236546114,1343.440419,9811.120448,112.3974507,2360167.508,1197111632,8080,TCP,2,1,0,122,3641,0.033019762
165,11.27071867,167,486520,616.4013345,2913.293413,46.70081533,44642.88082,503157.3503,80,T.C.P,2,3,0,48,73,0.032655159
1502,6886.038013,57319,25016073,273.8569109,436.4359636,112.3872562,259739.7727,1788577948,18406,UDP,1,1,0,7019,1215,0.006614357
718,1159.765763,28268,91073767,1345.561565,3221.797333,280.2604394,4611761.529,5348563129,443,tcp,2,2,0,659,9888,0.034081563
184,15.74599008,165,246393,792.8330781,1493.290909,28.76522807,29630.00129,466553.7065,80,TCP,3,3,1,28,61,0.499583309
656,3275.004584,3372,482377752,1228.349458,143053.9004,376.3950466,2888281.87,9459136365,443,TCP,2,1,0,733,3316,0.019762857
20,20.57978742,11,93883,311.7870285,8534.818182,38.81332257,43807.47198,901548.4607,443,TCP,2,1,0,48,56,0.471548995
1415,0.64662383,6,3952,185.1743465,658.6666667,2.63178925,3993.661255,2582.396536,53,  UDP ,0,0,0,0,0,0.876512456
957,234.0258565,79931,426235236,1429.744384,5332.539766,245.7948297,15477887.13,3622225792,21,TCP,1,1,0,184,36177,0.003418535
662,735.8293908,46462,401257251,1433.072232,8636.245771,94.90463621,4672569.546,3438214003,443,tcp,1,2,0,159,8504,0.035230746
759,2460.604226,20477,336639934,1388.39199,16439.90497,400.4642701,24812250.13,6105312754,443,TCP,0,2,0,632,2936,0.047197753
594,1032.238635,26538,396347912,1456.805008,14935.1086,470.5442509,5105463.636,5270056816,443,TCP,2,2,0,941,7212,0.048144206
276,1.768960112,163,41391,708.6313593,253.9325153,15.99359101,46690.926,82594.38568,443,TCP,3,4,0,37,72,0.241400658
1178,561.1295874,46121,202620449,1406.617768,4393.236248,359.4451681,41827005.13,23470370128,22,TCP,1,2,0,114,41239,0.006534762
143,8.920834789,28,69526,524.3616686,12415.35714,13.46862155,18178.15804,162164.3446,443,tcp,2,4,1,38,49,0.416744365
261,8.397874462,86,,686.345748,552.5232558,44.21392227,44924.02215,377266.2983,443,TCP,2,4,1,45,55,0.083287073
327,27.40599495,17,229581,391.0505375,13504.76471,1.417978708,7743.820849,212227.1151,443,TCP,1,2,1,38,46,0.094726214
1202,544.1945059,64666,59667603,1418.133877,922.7044042,125.620776,39243960.81,21356347861,22,TCP,1,1,0,357,23504,0.008035295
669,1038.266959,43408,471992674,1356.042282,10873.40292,155.6033437,92653355.14,9619891727,443,TCP,0,1,0,357,5486,0.035461773
1017,244.7686671,67774,260002758,1424.591266,3836.320093,260.878178,19209512.94,4701886879,443,TCP,2,1,0,425,29811,0.001152815
1471,1.102902735,7,868,171.9344252,124,6.194602902,2481.221324,2736.545784,53,udp,0,0,0,0,0,0.788292587
1257,0.544142791,8,3522,127.5930704,440.25,5.757392169,4153.386969,2260.035576,53,UDP,0,0,0,0,0,1.842124466
168,19.9975221,110,483292,355.3002351,4393.563636,6.461844361,35553.48915,710981.685,8080,TCP,1,2,1,11,20,0.202828366
598,1646.224529,40720,399630331,1313.249887,9814.104396,182.8255449,2603302.654,4285620684,8080,,0,2,0,306,7262,0.028493787
508,3382.398436,34055,443967352,1222.28663,13036.77439,90.44196579,5714722.944,19329469950,8080,,0,1,0,540,4821,0.016448379
51,0.821757878,168,280380,470.7774658,1668.928571,46.02445103,35799.26035,29418.32423,443,TCP,3,1,1,22,79,0.060071302
934,2970.905829,35565,351591026,1344.941996,9885.871672,190.8546948,9757523.711,28988684064,443,TCP,0,1,0,511,8671,0.006480424
313,10.71366467,178,457723,774.2829777,2571.477528,25.35296413,47304.9708,506809.5944,-1,TCP,4,3,1,9,51,0.428679593
1593,1706.527967,265845,36809045,173.1651201,138.4605503,73.61568614,204706.2182,349336886.4,46936,Udp,0,1,0,7795,2624,0.015578788
331,23.92953488,103,268422,756.3046635,2606.038835,41.55129633,38528.1875,921961.6066,443,TCP,3,3,1,5,36,0.174943008
1295,0.625449735,5,3623,100.396316,724.6,8.848816341,1320.447408,825.8734809,53,UDP,0,0,0,0,0,0.49720902
1326,1.037754896,3,3947,172.899285,1315.666667,3.751134054,4731.606153,4910.24745,53,UDP,0,0,0,0,0,0.243845855
1480,0.870302588,2,213,178.060906,106.5,8.642839852,205.2663259,178.6438147,53,Udp,0,0,0,0,0,0.272564145
1315,0.766843549,4,2697,151.0895072,674.25,5.763189514,4375.543812,3355.357547,53,udp ,0,0,0,0,0,1.83071335
1590,4023.230461,371400,2698727,445.4027909,7.266362412,142.9678865,455306.4703,1831802861,31219,udp,0,1,0,969,6791,0.013457177
